;0
unknown;0
Ṣanmukhapriya;1
Kāpi;2
Bhairavi;3
Madhyamāvati;4
Bilahari;5
Mōhanaṁ;6
Sencuruṭṭi;7
Śrīranjani;8
Rītigauḷa;9
Hussēnī;10
Dhanyāsi;11
Aṭāna;12
Behāg;13
Suraṭi;14
Kāmavardani;15
Mukhāri;16
Sindhubhairavi;17
Sahānā;18
Kānaḍa;19
Māyāmāḷavagauḷa;20
Nāṭa;21
Śankarābharaṇaṁ;22
Sāvēri;23
Kamās;24
Tōḍi;25
Bēgaḍa;26
Harikāmbhōji;27
Śrī;28
Kalyāṇi;29
Sāma;30
Nāṭakurinji;31
Pūrvīkaḷyāṇi;32
Yadukula kāṁbōji;33
Dēvagāndhāri;34
Kēdāragauḷa;35
Ānandabhairavi;36
Gauḷa;37
Varāḷi;38
Kāṁbhōji;39
Karaharapriya;40
Celtic;41
